,Ingredient,Number of rations needed
0,Chicken,642
1, Artichoke,124
2, Spinach,254
3, Garlic,431
4, Jalapeno Peppers,266
5, Fontina Cheese,124
6, Gouda Cheese,124
7, Tomatoes,740
8, Red Peppers,918
9, Pesto Sauce,85
10, Pineapple,289
11, Thai Sweet Chilli Sauce,168
12,Barbecued Chicken,123
13, Green Peppers,168
14, Red Onions,570
15, Barbecue Sauce,123
16,Capocollo,136
17, Goat Cheese,136
18, Oregano,136
19,Bacon,221
20, Pepperoni,221
21, Italian Sausage,125
22, Chorizo Sausage,125
23,Sliced Ham,121
24, Mozzarella Cheese,121
25, Corn,142
26, Cilantro,142
27, Chipotle Sauce,142
28, Mushrooms,264
29, Asiago Cheese,123
30, Alfredo Sauce,123
31, Anchovies,41
32, Green Olives,41
33, Zucchini,45
